"Activity ID","Source Issue","Phase","Gate","Type","Execution","Agent Role","Goal","Deliverables","Predecessors","Acceptance IDs","Status","Owner Role","Reviewer Role","Priority References"
"ACT-SP-034-01","SP-034","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Explicit release-owner action against current evidence and known limits; store submissions/status recorded separately from merged code; production checks pass; support ready","Integration/evidence checklist and actual Founder/release owner decision for SP-034","ACT-SP-030-01, ACT-SP-031-02, ACT-SP-032-01, ACT-SP-033-01, ACT-SP-056-01, ACT-SP-072-01, ACT-SP-073-01, ACT-SP-074-01, ACT-SP-141-02, ACT-SP-150-02","AC-SP-034-01, AC-SP-034-02, AC-SP-034-03, AC-SP-034-04","Backlog","Founder/release owner","Founder / release owner",""
"ACT-SP-035-01","SP-035","P11","G6","Acceptance rollup","Human","","Check every child plus the original source outcome: Create dated work items for dependency response, access review, retention/deletion health, restore rehearsal, content withdrawal/review, incident follow-up, adult transitions, and usage/cost review; cadence and owners match risk","Integration/evidence checklist and actual Operator/product owner decision for SP-035","ACT-SP-027-01, ACT-SP-034-01, ACT-SP-142-02, ACT-SP-144-03, ACT-SP-145-03","AC-SP-035-01, AC-SP-035-02","Backlog","Operator/product owner","Operator / security reviewer",""
"ACT-SP-036-01","SP-036","P11","G6","Delivery activity","Agent","Delivery agent","Compare measured manual delegation volume, failure handling and operating cost with a durable dispatcher proposal","Dated adopt/defer decision brief and prerequisites","ACT-SP-013-01","AC-SP-036-01, AC-SP-036-02, AC-SP-036-03","Backlog","Agent workflow owner/founder","Delivery owner",""
"ACT-SP-036-02","SP-036","P11","G6","Delivery activity","Agent","Delivery agent","If separately selected, define verified events, deduplication, leases, cancellation, budgets and crash reconciliation before a new bounded build assignment","Conditional design and test matrix, or recorded defer outcome","ACT-SP-036-01","AC-SP-036-01, AC-SP-036-02, AC-SP-036-03","Backlog","Agent workflow owner/founder","Delivery owner",""
"ACT-SP-036-03","SP-036","P11","G6","Verification and handoff","Agent","QA / Delivery agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Delivery owner.","SP-036 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-036-02","AC-SP-036-01, AC-SP-036-02, AC-SP-036-03","Backlog","Agent workflow owner/founder","Delivery owner",""
"ACT-SP-037-01","SP-037","P01","G1","Specification","Agent","Identity agent","Map platform, parent, club, coach and player actions separately from billing and media grants","Actor/action/resource matrix for family and multi-club fixtures","ACT-SP-001-02, ACT-SP-003-03","AC-SP-037-01, AC-SP-037-02","Backlog","Product/technical lead","Independent security reviewer",""
"ACT-SP-037-02","SP-037","P01","G1","Specification","Agent","Identity agent","Define draft/review/publish, guardian authority, role switching and revocation outcomes with accountable owners","Transition table and approved/denied examples for every role combination","ACT-SP-037-01","AC-SP-037-01, AC-SP-037-02","Backlog","Product/technical lead","Independent security reviewer",""
"ACT-SP-037-03","SP-037","P01","G1","Verification and handoff","Agent","QA / Identity agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-037 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-037-02","AC-SP-037-01, AC-SP-037-02","Backlog","Product/technical lead","Independent security reviewer",""
"ACT-SP-038-01","SP-038","P01","G1","Specification","Agent","Design agent","Map roster, invitations, plans, publishing, attendance and sharing across F14–F22 and affected family screens","Linked administration flow specification and field inventory","ACT-SP-007-01, ACT-SP-037-03","AC-SP-038-01, AC-SP-038-02, AC-SP-038-03, AC-SP-038-04","Backlog","Product designer/coach","Product designer",""
"ACT-SP-038-02","SP-038","P01","G1","Specification","Agent","Design agent","Specify multi-role switching, failures and revocation with responsive and accessible states","Reviewable paired-state designs or explicitly labeled specification","ACT-SP-038-01","AC-SP-038-01, AC-SP-038-02, AC-SP-038-03, AC-SP-038-04","Backlog","Product designer/coach","Product designer",""
"ACT-SP-038-03","SP-038","P01","G1","Verification and handoff","Agent","QA / Design agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Product designer.","SP-038 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-038-02","AC-SP-038-01, AC-SP-038-02, AC-SP-038-03, AC-SP-038-04","Backlog","Product designer/coach","Product designer",""
"ACT-SP-039-01","SP-039","P03","G2","Delivery activity","Agent","Backend agent","Rebuild a minimal schema with two households, two clubs and ownership-preserving links","Reproducible migration/seed fixture and constrained policy prototype","ACT-SP-008-01, ACT-SP-011-03, ACT-SP-012-03, ACT-SP-037-03","AC-SP-039-01, AC-SP-039-02, AC-SP-039-03, AC-SP-039-04, AC-SP-039-05","Backlog","Backend lead/security reviewer","Technical lead",""
"ACT-SP-039-02","SP-039","P03","G2","Delivery activity","Agent","Backend agent","Exercise allowed and denied reads/writes, forged links and direct client attempts without broad service keys","Policy/API results and documented provider limitations","ACT-SP-039-01","AC-SP-039-01, AC-SP-039-02, AC-SP-039-03, AC-SP-039-04, AC-SP-039-05","Backlog","Backend lead/security reviewer","Technical lead",""
"ACT-SP-039-03","SP-039","P03","G2","Verification and handoff","Agent","QA / Backend agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Technical lead.","SP-039 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-039-02","AC-SP-039-01, AC-SP-039-02, AC-SP-039-03, AC-SP-039-04, AC-SP-039-05","Backlog","Backend lead/security reviewer","Technical lead",""
"ACT-SP-040-01","SP-040","P04","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Direct household and club workspace; expiring invitations, guardian/adult enrollment, scoped staff/coach permissions, role switching, revocation and audit; no accidental guardianship grant","Integration/evidence checklist and actual Backend/admin lead decision for SP-040","ACT-SP-018-01, ACT-SP-021-01, ACT-SP-037-03, ACT-SP-038-03, ACT-SP-039-03, ACT-SP-079-03, ACT-SP-085-03, ACT-SP-111-03","AC-SP-040-01, AC-SP-040-02, AC-SP-040-03","Backlog","Backend/admin lead","Independent security reviewer",""
"ACT-SP-041-01","SP-041","P06","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Club-owned teams/age groups, minimal player roster, assigned-coach scope, per-player eligibility and mixed-age handling; no cross-club directory or global child lookup","Integration/evidence checklist and actual Admin/backend lead decision for SP-041","ACT-SP-005-02, ACT-SP-040-01, ACT-SP-112-03","AC-SP-041-01, AC-SP-041-02","Backlog","Admin/backend lead","Web lead / security reviewer",""
"ACT-SP-042-01","SP-042","P06","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Add/remove/replace/reorder approved drills; own home/club plan derivation; allowed variants; draft/review/publish; immutable versions, recipient suitability, rights/withdrawal and active-session snapshot preservation","Integration/evidence checklist and actual Content/admin/mobile leads decision for SP-042","ACT-SP-005-02, ACT-SP-019-01, ACT-SP-038-03, ACT-SP-041-01, ACT-SP-113-03","AC-SP-042-01, AC-SP-042-02, AC-SP-042-03, AC-SP-042-04, AC-SP-042-05","Backlog","Content/admin/mobile leads","Web lead / security reviewer",""
"ACT-SP-043-01","SP-043","P06","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Calendar and team/player assignments; labelled Home/Club origin; schedule conflicts and cancellations; attendance/source-labelled assessments; disclosed completion summary works without recording","Integration/evidence checklist and actual Admin/mobile/backend leads decision for SP-043","ACT-SP-020-01, ACT-SP-041-01, ACT-SP-042-01, ACT-SP-115-03, ACT-SP-116-03, ACT-SP-158-03, ACT-SP-159-03, ACT-SP-161-03, ACT-SP-162-03","AC-SP-043-01, AC-SP-043-02, AC-SP-043-03, AC-SP-043-04, AC-SP-043-05","Backlog","Admin/mobile/backend leads","Web lead / security reviewer",""
"ACT-SP-044-01","SP-044","P06","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Specific media grants/expiry/revocation; no club-enabled recording/cloud; payment does not grant viewing; coach/family departure and adult transition; home history preserved and club retention accurately handled","Integration/evidence checklist and actual Identity/backend lead with privacy review decision for SP-044","ACT-SP-021-01, ACT-SP-023-01, ACT-SP-024-01, ACT-SP-040-01, ACT-SP-104-03, ACT-SP-117-03, ACT-SP-160-03","AC-SP-044-01, AC-SP-044-02, AC-SP-044-03, AC-SP-044-04, AC-SP-044-05","Backlog","Identity/backend lead with privacy review","Independent security reviewer",""
"ACT-SP-045-01","SP-045","P08","G3","Delivery activity","Agent","Security test agent","Probe roster, export, publication and direct APIs using unrelated, revoked and multi-club actors","S18–S22 access test evidence on the candidate","ACT-SP-022-01, ACT-SP-025-01, ACT-SP-040-01, ACT-SP-041-01, ACT-SP-042-01, ACT-SP-043-01, ACT-SP-044-01","AC-SP-045-01, AC-SP-045-02, AC-SP-045-03, AC-SP-045-04, AC-SP-045-05","Backlog","Independent security reviewer/QA","Independent security reviewer",""
"ACT-SP-045-02","SP-045","P08","G3","Delivery activity","Agent","Security test agent","Test withdrawn content, invalid suitability, stale joins/jobs and offline version behavior","Version-integrity and revocation findings with targeted retest evidence","ACT-SP-045-01","AC-SP-045-01, AC-SP-045-02, AC-SP-045-03, AC-SP-045-04, AC-SP-045-05","Backlog","Independent security reviewer/QA","Independent security reviewer",""
"ACT-SP-045-03","SP-045","P08","G3","Verification and handoff","Agent","QA / Security test agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-045 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-045-02","AC-SP-045-01, AC-SP-045-02, AC-SP-045-03, AC-SP-045-04, AC-SP-045-05","Backlog","Independent security reviewer/QA","Independent security reviewer",""
"ACT-SP-046-01","SP-046","P09","G4","Acceptance rollup","Human","","Check every child plus the original source outcome: A club admin and coach manage scoped groups/plans; families join, complete activity without video, optionally share/revoke, and leave; direct-family route still usable; report limitations and workload for re-estimation","Integration/evidence checklist and actual Research owner/club coordinator decision for SP-046","ACT-SP-028-02, ACT-SP-138-02","AC-SP-046-01, AC-SP-046-02, AC-SP-046-03, AC-SP-046-04","Backlog","Research owner/club coordinator","Research owner / safeguarding lead",""
"ACT-SP-047-01","SP-047","P01","G1","Specification","Agent","Mobile agent","Define per-context Drift data, file catalog, worker access, keys, WAL/temp handling and migrations","Local persistence schema and protection/recovery contract","ACT-SP-008-01, ACT-SP-010-01, ACT-SP-011-03, ACT-SP-037-03","AC-SP-047-01","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-047-02","SP-047","P01","G1","Specification","Agent","Mobile agent","Define outbox IDs, conflict ownership, authority refresh, delete-wins, offline expiry and visible retry states","Sync protocol, conflict fixtures and offline UI state table","ACT-SP-047-01","AC-SP-047-01","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-047-03","SP-047","P01","G1","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-047 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-047-02","AC-SP-047-01","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-048-01","SP-048","P01","G1","Specification","Agent","Billing agent","Separate buyer, provider source, player beneficiary, club seat and feature grant","Entitlement domain model and overlap examples","ACT-SP-001-02, ACT-SP-037-03","AC-SP-048-01, AC-SP-048-02, AC-SP-048-03","Backlog","Founder/backend lead","Billing / security reviewer",""
"ACT-SP-048-02","SP-048","P01","G1","Specification","Agent","Billing agent","Mark catalog values proposed and define invited coach, restore, sponsorship and F23/F24 states","Proposed catalog and purchase-source lifecycle/state matrix","ACT-SP-048-01","AC-SP-048-01, AC-SP-048-02, AC-SP-048-03","Backlog","Founder/backend lead","Billing / security reviewer",""
"ACT-SP-048-03","SP-048","P01","G1","Verification and handoff","Agent","QA / Billing agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Billing / security reviewer.","SP-048 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-048-02","AC-SP-048-01, AC-SP-048-02, AC-SP-048-03","Backlog","Founder/backend lead","Billing / security reviewer",""
"ACT-SP-049-01","SP-049","P01","G1","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Current first-market store path, mixed club/family product treatment, SDK inventory and privacy behavior reviewed; purchase journeys legally/platform appropriate","Review-ready SP-049 packet with source versions, open decisions and acceptance checklist","ACT-SP-009-02, ACT-SP-048-03","AC-SP-049-01, AC-SP-049-02","Backlog","Privacy/mobile leads","Billing / security reviewer",""
"ACT-SP-049-02","SP-049","P01","G1","Human action","Human","","The accountable Privacy/mobile leads supplies missing decisions and approves the specific outcome: Review store billing and SDK audience. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-049 decision and any actual specialist/participant work required by its scope","ACT-SP-049-01","AC-SP-049-01, AC-SP-049-02","Backlog","Privacy/mobile leads","Billing / security reviewer",""
"ACT-SP-050-01","SP-050","P01","G1","Specification","Agent","Operations agent","Describe Sydney primary, global delivery, development/production separation, private-media cache controls and scoped secrets","Lean deployment and processor inventory with provider and cost assumptions","ACT-SP-011-03, ACT-SP-037-03","AC-SP-050-01, AC-SP-050-02","Backlog","Operator/security lead","Operator / security reviewer",""
"ACT-SP-050-02","SP-050","P01","G1","Specification","Agent","Operations agent","Record no dedicated pilot recovery, no RPO/RTO promise, provider-default limits, original-device guidance and the post-pilot recovery trigger","Pilot continuity and data-loss decision with post-pilot recovery gate","ACT-SP-050-01","AC-SP-050-01, AC-SP-050-02","Backlog","Operator/security lead","Operator / security reviewer",""
"ACT-SP-050-03","SP-050","P01","G1","Verification and handoff","Agent","QA / Operations agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Operator / security reviewer.","SP-050 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-050-02","AC-SP-050-01, AC-SP-050-02","Backlog","Operator/security lead","Operator / security reviewer",""
"ACT-SP-051-01","SP-051","P03","G2","Delivery activity","Agent","Mobile agent","Exercise account switch, local sessions and synthetic migration in the device harness","Per-context persistence feasibility implementation and fixture set","ACT-SP-012-03, ACT-SP-039-03, ACT-SP-047-03","AC-SP-051-01","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-051-02","SP-051","P03","G2","Delivery activity","Agent","Mobile agent","Replay duplicate outbox events, stale entitlements, tombstones and interrupted uploads on phones","Device evidence for retained history, isolation and delete-first reconnect","ACT-SP-051-01","AC-SP-051-01","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-051-03","SP-051","P03","G2","Verification and handoff","Agent","QA / Mobile agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Mobile lead / device QA.","SP-051 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-051-02","AC-SP-051-01","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-052-01","SP-052","P03","G2","Delivery activity","Agent","Billing agent","Bind Apple/Google sandbox and Stripe test identities to verified server-side beneficiary records","Sandbox adapters and fixture purchase/event mappings","ACT-SP-012-03, ACT-SP-048-03, ACT-SP-049-02, ACT-SP-050-03","AC-SP-052-01, AC-SP-052-02, AC-SP-052-03, AC-SP-052-04","Backlog","Billing/backend lead","Billing / security reviewer",""
"ACT-SP-052-02","SP-052","P03","G2","Delivery activity","Agent","Billing agent","Run replay, out-of-order, refund, restore, reassignment and expiry against expected ledger outcomes","Sandbox ledger convergence results and provider-limit findings","ACT-SP-052-01","AC-SP-052-01, AC-SP-052-02, AC-SP-052-03, AC-SP-052-04","Backlog","Billing/backend lead","Billing / security reviewer",""
"ACT-SP-052-03","SP-052","P03","G2","Verification and handoff","Agent","QA / Billing agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Billing / security reviewer.","SP-052 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-052-02","AC-SP-052-01, AC-SP-052-02, AC-SP-052-03, AC-SP-052-04","Backlog","Billing/backend lead","Billing / security reviewer",""
"ACT-SP-053-01","SP-053","P04","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Current-build migration/reconnect/data isolation; queued uploads and deletion; quota and local recovery; F25 verified; S23 addressed","Integration/evidence checklist and actual Mobile/backend leads decision for SP-053","ACT-SP-018-01, ACT-SP-020-01, ACT-SP-051-03, ACT-SP-089-03, ACT-SP-091-03, ACT-SP-105-03","AC-SP-053-01, AC-SP-053-02, AC-SP-053-03, AC-SP-053-04, AC-SP-053-05","Backlog","Mobile/backend leads","Mobile lead / device QA",""
"ACT-SP-054-01","SP-054","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Approved catalog, invoices, store restore/cancel/refund, seat proration/renewal, reconciliation and monitoring; production configuration reviewed before real sales","Integration/evidence checklist and actual Founder/billing lead decision for SP-054","ACT-SP-030-01, ACT-SP-048-03, ACT-SP-049-02, ACT-SP-052-03, ACT-SP-120-03, ACT-SP-121-03, ACT-SP-122-03, ACT-SP-148-02","AC-SP-054-01, AC-SP-054-02","Backlog","Founder/billing lead","Billing / security reviewer",""
"ACT-SP-055-01","SP-055","P07","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Region/config evidence, backup jobs, restricted recovery history, restore/deletion replay, redacted alerts and adult notifications; S26/S27 covered","Integration/evidence checklist and actual Operator/security lead decision for SP-055","ACT-SP-025-01, ACT-SP-027-01, ACT-SP-050-03, ACT-SP-123-03","AC-SP-055-01, AC-SP-055-02","Backlog","Operator/security lead","Operator / security reviewer",""
"ACT-SP-056-01","SP-056","P10","G5","Acceptance rollup","Human","","Check every child plus the original source outcome: Entity/IP/contracts/accounting/tax/insurance review as applicable; support, refund and incident ownership; adult CRM and sales materials; founder accepts readiness","Integration/evidence checklist and actual Founder with specialists decision for SP-056","ACT-SP-030-01, ACT-SP-054-01, ACT-SP-055-01, ACT-SP-133-03, ACT-SP-136-02","AC-SP-056-01, AC-SP-056-02, AC-SP-056-03, AC-SP-056-04","Backlog","Founder with specialists","Founder / specialist",""
"ACT-SP-057-01","SP-057","P09","G4","Acceptance rollup","Human","","Check every child plus the original source outcome: Adult price/value feedback, device video measurements, support burden, quota adoption and workbook sensitivities; no sales forecasts presented as evidence","Integration/evidence checklist and actual Founder/research owner decision for SP-057","ACT-SP-029-01, ACT-SP-046-01, ACT-SP-139-03","AC-SP-057-01, AC-SP-057-02","Backlog","Founder/research owner","Founder / specialist",""
"ACT-SP-058-01","SP-058","P11","G6","Acceptance rollup","Human","","Check every child plus the original source outcome: Demand, coach/client permissions, differentiated value, app-store treatment and positive unit economics; defer until core family/club evidence supports investment","Integration/evidence checklist and actual Founder/coach decision for SP-058","ACT-SP-034-01, ACT-SP-035-01, ACT-SP-143-03","AC-SP-058-01, AC-SP-058-02","Backlog","Founder/coach","Founder / specialist",""
"ACT-SP-059-01","SP-059","P01","G1","Specification","Agent","Identity agent","Define adult TOTP, backup factor, action recency and restricted player credential boundaries","Role/action assurance matrix and F27–F31 enrollment state table","ACT-SP-008-01, ACT-SP-010-01, ACT-SP-037-03","AC-SP-059-01, AC-SP-059-02","Backlog","Identity/mobile leads","Independent security reviewer",""
"ACT-SP-059-02","SP-059","P01","G1","Specification","Agent","Identity agent","Define enrollment-only recovery, last-factor restrictions, guardian pairing, renewal and revocation","Recovery/handoff protocol with bypass-denial fixtures","ACT-SP-059-01","AC-SP-059-01, AC-SP-059-02","Backlog","Identity/mobile leads","Independent security reviewer",""
"ACT-SP-059-03","SP-059","P01","G1","Verification and handoff","Agent","QA / Identity agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-059 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-059-02","AC-SP-059-01, AC-SP-059-02","Backlog","Identity/mobile leads","Independent security reviewer",""
"ACT-SP-060-01","SP-060","P01","G1","Specification","Agent","Security test agent","Define server-mediated sessions, assurance freshness, revocation, direct API/RLS/storage and cache rules","Session/authorization interface and allowed/denied route matrix","ACT-SP-008-01, ACT-SP-038-03, ACT-SP-050-03","AC-SP-060-01, AC-SP-060-02","Backlog","Web/backend/security leads","Independent security reviewer",""
"ACT-SP-060-02","SP-060","P01","G1","Specification","Agent","Security test agent","Define quarantine, decoder limits, finalize rules, abuse controls and failure visibility","Worker validation contract and hostile-media fixture specification","ACT-SP-060-01","AC-SP-060-01, AC-SP-060-02","Backlog","Web/backend/security leads","Independent security reviewer",""
"ACT-SP-060-03","SP-060","P01","G1","Verification and handoff","Agent","QA / Security test agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-060 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-060-02","AC-SP-060-01, AC-SP-060-02","Backlog","Web/backend/security leads","Independent security reviewer",""
"ACT-SP-061-01","SP-061","P01","G1","Specification","Agent","Identity agent","Define second guardian, disputes, age correction and adulthood under the selected first-market policy","Authority transition record and case decision table","ACT-SP-001-02, ACT-SP-008-01, ACT-SP-011-03","AC-SP-061-01, AC-SP-061-02","Backlog","Privacy/identity leads","Independent security reviewer",""
"ACT-SP-061-02","SP-061","P01","G1","Specification","Agent","Identity agent","Inventory deletion/holds, device/cloud/recovery copies, processor terms and authorized exports","Retention schedule and data-rights flow for specialist review","ACT-SP-061-01","AC-SP-061-01, AC-SP-061-02","Backlog","Privacy/identity leads","Independent security reviewer",""
"ACT-SP-061-03","SP-061","P01","G1","Verification and handoff","Agent","QA / Identity agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-061 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-061-02","AC-SP-061-01, AC-SP-061-02","Backlog","Privacy/identity leads","Independent security reviewer",""
"ACT-SP-062-01","SP-062","P01","G1","Specification","Agent","Design agent","Define trusted recipients, escalation and handling when a report concerns a guardian/coach","F32/F33 reporting flow and accountable response matrix","ACT-SP-005-02, ACT-SP-007-01, ACT-SP-038-03, ACT-SP-059-03, ACT-SP-061-03","AC-SP-062-01, AC-SP-062-02","Backlog","Designer/coach/safeguarding owner","Product designer",""
"ACT-SP-062-02","SP-062","P01","G1","Specification","Agent","Design agent","Map F27–F33 access needs and every released variant/asset to review obligations","Accessibility/asset coverage matrix and review-ready missing-input list","ACT-SP-062-01","AC-SP-062-01, AC-SP-062-02","Backlog","Designer/coach/safeguarding owner","Product designer",""
"ACT-SP-062-03","SP-062","P01","G1","Verification and handoff","Agent","QA / Design agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Product designer.","SP-062 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-062-02","AC-SP-062-01, AC-SP-062-02","Backlog","Designer/coach/safeguarding owner","Product designer",""
"ACT-SP-063-01","SP-063","P01","G1","Specification","Agent","Operations agent","Define vendor MFA, backup factors, custodians, audit and alternate deletion authority","Operator access inventory and key loss/compromise procedure","ACT-SP-003-03, ACT-SP-050-03","AC-SP-063-01, AC-SP-063-02","Backlog","Operator/security reviewer","Operator / security reviewer",""
"ACT-SP-063-02","SP-063","P01","G1","Specification","Agent","Operations agent","Define auth/config restore, alerts, content withdrawal and older-client handling","Rehearsal runbooks with measurable owner/alternate responsibilities","ACT-SP-063-01","AC-SP-063-01, AC-SP-063-02","Backlog","Operator/security reviewer","Operator / security reviewer",""
"ACT-SP-063-03","SP-063","P01","G1","Verification and handoff","Agent","QA / Operations agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Operator / security reviewer.","SP-063 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-063-02","AC-SP-063-01, AC-SP-063-02","Backlog","Operator/security reviewer","Operator / security reviewer",""
"ACT-SP-064-01","SP-064","P01","G1","Decision preparation","Agent","Delivery / analysis agent","Assemble source evidence, options, gaps and the decision needed for: Requirement/design/task/test matrix; complete content quantities; bounded identity/web/validation/specialist quotes or explicit estimate gaps; baseline workbook limits; R14/R19/R20","Review-ready SP-064 packet with source versions, open decisions and acceptance checklist","ACT-SP-004-01, ACT-SP-005-02, ACT-SP-006-02, ACT-SP-047-03, ACT-SP-048-03, ACT-SP-059-03, ACT-SP-060-03, ACT-SP-061-03, ACT-SP-062-03, ACT-SP-063-03","AC-SP-064-01, AC-SP-064-02, AC-SP-064-03, AC-SP-064-04, AC-SP-064-05","Backlog","Founder/delivery owner","Delivery owner",""
"ACT-SP-064-02","SP-064","P01","G1","Human action","Human","","The accountable Founder/delivery owner supplies missing decisions and approves the specific outcome: Reconcile requirements and obtain scoped estimates. Resolve any specialist sign-off with the actual specialist; preserve the original acceptance below. Confirm the outcome against the original source acceptance; record approve/revise/stop with actual evidence.","Dated SP-064 decision and any actual specialist/participant work required by its scope","ACT-SP-064-01","AC-SP-064-01, AC-SP-064-02, AC-SP-064-03, AC-SP-064-04, AC-SP-064-05","Backlog","Founder/delivery owner","Delivery owner",""
"ACT-SP-065-01","SP-065","P03","G2","Delivery activity","Agent","Identity agent","Exercise same-phone authenticator setup and pairing without exposing adult refresh credentials","Identity feasibility harness and positive route evidence","ACT-SP-012-03, ACT-SP-039-03, ACT-SP-059-03, ACT-SP-060-03","AC-SP-065-01, AC-SP-065-02, AC-SP-065-03, AC-SP-065-04, AC-SP-065-05, AC-SP-065-06","Backlog","Identity/mobile/backend leads","Independent security reviewer",""
"ACT-SP-065-02","SP-065","P03","G2","Delivery activity","Agent","Identity agent","Attempt AAL1/direct API, email-only recovery, stale recency and revoked credentials; inspect media validation limits","Bypass-denial evidence and feasibility exceptions","ACT-SP-065-01","AC-SP-065-01, AC-SP-065-02, AC-SP-065-03, AC-SP-065-04, AC-SP-065-05, AC-SP-065-06","Backlog","Identity/mobile/backend leads","Independent security reviewer",""
"ACT-SP-065-03","SP-065","P03","G2","Verification and handoff","Agent","QA / Identity agent","Demonstrate every source acceptance condition against the resulting artifact and submit evidence to Independent security reviewer.","SP-065 acceptance evidence bundle: criterion outcomes, exact versions, commands/checks, device results where required and remaining limits","ACT-SP-065-02","AC-SP-065-01, AC-SP-065-02, AC-SP-065-03, AC-SP-065-04, AC-SP-065-05, AC-SP-065-06","Backlog","Identity/mobile/backend leads","Independent security reviewer",""
"ACT-SP-066-01","SP-066","P04","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Enroll/challenge/change/reset, separate child credentials, pairing/handoff, session controls, scoped protected operations and security notifications; R01–R04","Integration/evidence checklist and actual Identity/mobile leads decision for SP-066","ACT-SP-018-01, ACT-SP-021-01, ACT-SP-040-01, ACT-SP-065-03, ACT-SP-100-03, ACT-SP-101-03, ACT-SP-102-03","AC-SP-066-01, AC-SP-066-02","Backlog","Identity/mobile leads","Independent security reviewer",""
"ACT-SP-067-01","SP-067","P08","G3","Acceptance rollup","Human","","Check every child plus the original source outcome: Server/browser credential checks; web injection/CSRF/redirect protection; storage/RPC/view/realtime denial; quarantined validation; device previews/keys; rate/cost controls; R06–R08/R12","Integration/evidence checklist and actual Web/mobile/backend leads decision for SP-067","ACT-SP-020-01, ACT-SP-022-01, ACT-SP-023-01, ACT-SP-053-01, ACT-SP-060-03, ACT-SP-066-01, ACT-SP-107-03","AC-SP-067-01, AC-SP-067-02, AC-SP-067-03, AC-SP-067-04, AC-SP-067-05, AC-SP-067-06, AC-SP-067-07","Backlog","Web/mobile/backend leads","Independent security reviewer",""
